section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (16),tooltip-row (27),tooltip-row (29),tooltip-row (37),tooltip-row (39),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59),ui-pillbox-summary (7),ui-state-default (43),ui-state-default (44),ui-state-default (45),ui-state-default (46),ui-state-default (47),ui-state-default (48),meeting (31),meeting (32),meeting (33),meeting (34),meeting (35),tooltip-row (61),tooltip-row (62),tooltip-row (63),tooltip-row (64),tooltip-row (65),tooltip-row (66),tooltip-row (67),tooltip-row (68),tooltip-row (69),tooltip-row (70),ui-pillbox-summary (8),ui-state-default (50),ui-state-default (51),ui-state-default (52),ui-state-default (53),ui-state-default (54),ui-state-default (55),meeting (36),meeting (37),meeting (38),meeting (39),meeting (40),tooltip-row (71),tooltip-row (72),tooltip-row (73),tooltip-row (74),tooltip-row (75),tooltip-row (76),tooltip-row (77),tooltip-row (78),tooltip-row (79),tooltip-row (80),readonly (11),readonly (12),status-full,status-waitlist
Computer Applications,Lecture,Information Tech - CPS,1000,01,3,40192,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"2 of 30 seats remain.
10 of 10 waitlist seats remain.",2,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Applications,Lecture,Information Tech - CPS,1000,02,3,40193,Thursday,M,T,W,F,S,T,05:50 PM - 08:35 PM,Building: Hayden Hall,Room: 005,Start Date: 01/06/2025,End Date: 02/25/2025,Boston,"8 of 20 seats remain.
10 of 10 waitlist seats remain.",8,10,Lowell Institute School,05,50,08,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Applications,Lecture,Information Tech - CPS,1000,03,3,40194,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Systems Concepts,Lecture,Information Tech - CPS,1200,01,3,40044,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"15 of 30 seats remain.
10 of 10 waitlist seats remain.",15,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Systems Concepts,Lecture,Information Tech - CPS,1200,02,3,40299,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Kariotis Hall,Room: 304,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"4 of 18 seats remain.
10 of 10 waitlist seats remain.",4,10,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Systems Analysis and Design,Lecture,Information Tech - CPS,2000,01,3,40170,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.
Principles of Systems Analysis and Design,Lecture,Information Tech - CPS,2000,02,3,40375,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: Forsyth Building,Room: 236,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,,FULL,10,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.
End-User Data Analysis Tools,Lecture,Information Tech - CPS,2016,01,3,40045,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,NUpath Analyzing/Using Data,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.
End-User Data Analysis Tools,Lecture,Information Tech - CPS,2016,02,3,40203,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"3 of 30 seats remain.
10 of 10 waitlist seats remain.",3,10,NUpath Analyzing/Using Data,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-User Data Analysis Tools,Lecture,Information Tech - CPS,2016,04,3,40161,Thursday,M,T,W,F,S,T,05:50 PM - 08:35 PM,Building: 89 Broad Street,Room: 226,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,,FULL,10,NUpath Analyzing/Using Data,05,50,08,35,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 23 seats remain.,10 of 10 waitlist seats remain.
Designing the User Experience,Lecture,Information Tech - CPS,2050,01,3,40300,Monday,T,W,T,F,S,M,05:50 PM - 08:35 PM,Building: Science Engineering Complex,Room: 136,Start Date: 01/06/2025,End Date: 02/25/2025,Boston,"7 of 30 seats remain.
10 of 10 waitlist seats remain.",7,10,Lowell Institute School,05,50,08,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designing the User Experience,Lecture,Information Tech - CPS,2050,02,3,40301,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"2 of 30 seats remain.
10 of 10 waitlist seats remain.",2,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Programming (Java),Lecture,Information Tech - CPS,2100,01,3,40229,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Snell Library,Room: 003,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"7 of 24 seats remain.
10 of 10 waitlist seats remain.",7,10,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Networking Foundations,Lecture,Information Tech - CPS,2200,01,3,40046,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"8 of 30 seats remain.
10 of 10 waitlist seats remain.",8,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Management Systems,Lecture,Information Tech - CPS,2300,01,3,40047,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web and Mobile Development,Lecture,Information Tech - CPS,2400,01,3,40048,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Churchill Hall,Room: 101,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,NUpath Creative Express/Innov,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web and Mobile Development,Lecture,Information Tech - CPS,2400,02,3,40252,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,NUpath Creative Express/Innov,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Commerce Systems,Lecture,Information Tech - CPS,2430,01,3,40278,Monday,T,W,T,F,S,M,05:50 PM - 08:35 PM,Building: Dodge Hall,Room: 330,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,"7 of 30 seats remain.
10 of 10 waitlist seats remain.",7,10,Lowell Institute School,05,50,08,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Websites,Lecture,Information Tech - CPS,3150,01,3,40302,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIX Systems Administration,Lecture,Information Tech - CPS,3250,01,3,40492,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structured Query Language (SQL),Lecture,Information Tech - CPS,3300,01,3,40585,Wednesday,M,T,T,F,S,W,05:50 PM - 08:35 PM,Building: Ryder Hall,Room: 204,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,"14 of 15 seats remain.
10 of 10 waitlist seats remain.",14,10,Lowell Institute School,05,50,08,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing Technologies,Lecture,Information Tech - CPS,3320,01,3,40376,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"15 of 30 seats remain.
10 of 10 waitlist seats remain.",15,10,NUpath Analyzing/Using Data,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Design and Multimedia,Lecture,Information Tech - CPS,3400,01,3,40377,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,NUpath Creative Express/Innov,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT Project Management,Lecture,Information Tech - CPS,3500,02,3,40305,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,NUpath Writing Intensive,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT Project Management,Lecture,Information Tech - CPS,3500,03,3,40494,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Shillman Hall,Room: 335,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,NUpath Writing Intensive,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XN Experiential Project,,,
Legal and Ethical Issues in Cybersecurity,Lecture,Information Tech - CPS,3620,01,3,40165,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"3 of 30 seats remain.
10 of 10 waitlist seats remain.",3,10,NUpath Ethical Reasoning,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal and Ethical Issues in Cybersecurity,Lecture,Information Tech - CPS,3620,02,3,40306,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 268,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"3 of 20 seats remain.
10 of 10 waitlist seats remain.",3,10,NUpath Ethical Reasoning,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Security Management,Lecture,Information Tech - CPS,4600,02,3,40421,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 296,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Cloud Computing,Lecture,Information Tech - CPS,4640,01,3,40495,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Vulnerabilities,Lecture,Information Tech - CPS,4670,01,3,40196,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 236,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forensics in Information Technology,Lecture,Information Tech - CPS,4680,01,3,40496,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Project,Lecture,Information Tech - CPS,4850,01,3,40049,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"10 of 20 seats remain.
10 of 10 waitlist seats remain.",10,10,NUpath Capstone Experience,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell Institute School,,,
Information Technology Project,Lecture,Information Tech - CPS,4850,02,3,40287,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 209,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"13 of 20 seats remain.
10 of 10 waitlist seats remain.",13,10,NUpath Capstone Experience,05,50,08,20,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell Institute School,XN Experiential Project,,
Penetration Testing,Lecture,Information Tech - CPS,4983,01,3,40333,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,Lowell Institute School,,,,,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generative AI,Lecture,Information Tech - CPS,4983,02,3,40497,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"6 of 30 seats remain.
10 of 10 waitlist seats remain.",6,10,Lowell Institute School,,,,,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Project Preparation,Seminar,Interdiscpln Studies - CPS,2000,01,1,40174,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"3 of 25 seats remain.
5 of 5 waitlist seats remain.",3,5,No Course Evaluation,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Project Preparation,Seminar,Interdiscpln Studies - CPS,2000,04,1,40423,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,1 of 25 seats remain.,1,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessing Your Leadership Capacity,Lecture,Leadership Studies - CPS,1200,01,3,40051,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"4 of 30 seats remain.
10 of 10 waitlist seats remain.",4,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading and Managing Change,Lecture,Leadership Studies - CPS,3200,02,3,40122,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,21 of 30 seats remain.,21,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Teams Locally and Virtually,Lecture,Leadership Studies - CPS,3250,02,3,40147,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"17 of 30 seats remain.
5 of 5 waitlist seats remain.",17,5,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evidence-Based Leadership and Decision Making,Lecture,Leadership Studies - CPS,3400,01,3,40178,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,15 of 30 seats remain.,15,,NUpath Writing Intensive,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Leadership Studies - CPS,4955,01,1,40574,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,No Course Evaluation,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 1 seats remain.,
Capstone Project in Liberal Studies,Lecture,Liberal Studies - CPS,4850,01,3,40050,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,21 of 25 seats remain.,21,,Low Enrollment,,,,,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,CPS-Programs-UG,,
Introduction to Business,Lecture,Management - CPS,1100,01,3,40076,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"3 of 30 seats remain.
10 of 10 waitlist seats remain.",3,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Business,Lecture,Management - CPS,1100,02,3,40102,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Business,Lecture,Management - CPS,1100,05,3,40094,Monday,T,W,T,F,S,M,02:50 PM - 05:20 PM,Building: 89 Broad Street,Room: 237,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"7 of 30 seats remain.
10 of 10 waitlist seats remain.",7,10,CPS-Programs-UG,02,50,05,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Management,Lecture,Management - CPS,2100,02,3,40084,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,"10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Management,Lecture,Management - CPS,2100,05,3,40189,Wednesday,M,T,T,F,S,W,02:50 PM - 05:20 PM,Building: 89 Broad Street,Room: 210,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"5 of 18 seats remain.
10 of 10 waitlist seats remain.",5,10,CPS-Programs-UG,02,50,05,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information within the Enterprise,Lecture,Management - CPS,2210,01,3,40135,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information within the Enterprise,Lecture,Management - CPS,2210,03,3,40098,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: Science Engineering Complex,Room: 138,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain Management,Lecture,Management - CPS,2220,01,3,40077,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"2 of 30 seats remain.
10 of 10 waitlist seats remain.",2,10,CPS-Programs-UG,,,,,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
