section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,readonly (11),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (33),ui-state-default (34),tooltip-row (47),tooltip-row (49),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (41),ui-state-default (42),tooltip-row (53),tooltip-row (55),tooltip-row (57),tooltip-row (59),status-bold (3),readonly (12)
Data Warehousing and SQL,Lecture,Analytics - CPS,6030,17,3,81356,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 201,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Portland, Maine","9 of 15 seats remain.
6 of 6 waitlist seats remain.",9,6,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,01,3,80213,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"8 of 23 seats remain.
10 of 10 waitlist seats remain.",8,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,03,3,80255,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 470,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,,FULL,10,CPS-Professional Programs GR 2,,05,50,08,30,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,04,3,80256,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 424,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"17 of 30 seats remain.
5 of 5 waitlist seats remain.",17,5,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,06,3,80309,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 430,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,,FULL,,CPS-Professional Programs GR 2,,05,50,08,30,FULL: 0 of 30 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,07,3,80310,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 125,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"3 of 30 seats remain.
10 of 10 waitlist seats remain.",3,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,08,3,80593,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 604,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Toronto, Canada",,FULL,6,CPS-Professional Programs GR 2,,06,00,08,40,FULL: 0 of 30 seats remain.,6 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,10,3,80607,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 906,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Silicon Valley, CA","11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Professional Programs GR 2,Silicon Valley CPS Ldrshp Grad,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,11,3,80608,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: 401 Terry Ave,Building:,Room: 142,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Seattle, WA","7 of 16 seats remain.
6 of 6 waitlist seats remain.",7,6,Seattle CPS-Prof Prog Grad 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,12,3,80646,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 218,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine",,FULL,10,Roux Institute,,06,00,08,40,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,15,3,80722,Thursday,S,M,T,W,F,S,T,03:00 PM - 05:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1515,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Vancouver, Canada","15 of 30 seats remain.
10 of 10 waitlist seats remain.",15,10,Vancouver program eligible,CPS-Professional Programs GR 2,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,16,3,80723,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1515,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Vancouver, Canada","2 of 30 seats remain.
10 of 10 waitlist seats remain.",2,10,Vancouver program eligible,CPS-Professional Programs GR 2,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,19,3,80781,Thursday,S,M,T,W,F,S,T,12:00 PM - 02:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Toronto, Canada","3 of 30 seats remain.
6 of 6 waitlist seats remain.",3,6,CPS-Professional Programs GR 2,,12,00,02,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,21,3,80845,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Knowles Center,Building:,Room: 002B,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,2 of 30 seats remain.,2,,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,24,3,80915,Saturday,S,M,T,W,T,F,S,01:00 PM - 03:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1523,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Vancouver, Canada","5 of 30 seats remain.
10 of 10 waitlist seats remain.",5,10,Vancouver program eligible,CPS-Professional Programs GR 2,01,00,03,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,28,3,81028,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 270,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,29,3,81206,Tuesday,S,M,W,T,F,S,T,05:30 PM - 08:10 PM,Type: Class,Type:,Building: CPM,Building:,Room: 102,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Oakland, CA","23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,Oakland CPS-Prof Prog GR 1,,05,30,08,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,30,3,81406,Saturday,S,M,T,W,T,F,S,11:00 AM - 01:40 PM,Type: Class,Type:,Building: Northeastern Arlington Tower,Building:,Room: 1504,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Arlington, VA","30 of 30 seats remain.
10 of 10 waitlist seats remain.",30,10,CPS-Professional Programs GR 2,,11,00,01,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,31,3,81416,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 606,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Toronto, Canada",12 of 30 seats remain.,12,,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining Applications,Lecture,Analytics - CPS,6040,32,3,81434,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,02,3,80247,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 108,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"9 of 30 seats remain.
10 of 10 waitlist seats remain.",9,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,09,3,80311,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 425,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,15,3,80609,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 906,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Silicon Valley, CA","24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Professional Programs GR 2,Silicon Valley CPS Ldrshp Grad,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,16,3,80610,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: 401 Terry Ave,Building:,Room: 142,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Seattle, WA","15 of 16 seats remain.
6 of 6 waitlist seats remain.",15,6,Seattle CPS-Prof Prog Grad 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,17,3,80647,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 218,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine","16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,Roux Institute,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,20,3,80724,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1515,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,24,3,80917,Saturday,S,M,T,W,T,F,S,09:00 AM - 11:40 AM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1526,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","9 of 30 seats remain.
10 of 10 waitlist seats remain.",9,10,Vancouver program eligible,CPS-Professional Programs GR 2,09,00,11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,25,3,80955,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,16 of 30 seats remain.,16,,Toronto program eligible,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,26,3,80956,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,10 of 30 seats remain.,10,,Toronto program eligible,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Enterprise Analytics,Lecture,Analytics - CPS,6050,27,3,81407,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern Arlington Tower,Building:,Room: 1504,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Arlington, VA","28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,02,3,80257,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 231,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"7 of 30 seats remain.
10 of 10 waitlist seats remain.",7,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,04,3,80296,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 452,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"4 of 24 seats remain.
2 of 2 waitlist seats remain.",4,2,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,06,3,80294,Tuesday,S,M,W,T,F,S,T,02:50 PM - 05:30 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 1010,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Silicon Valley, CA",,FULL,1,San Jose Eligible,CPS-Professional Programs GR 2,02,50,05,30,FULL: 0 of 6 seats remain.,1 of 1 waitlist seats remain.,Silicon Valley CPS Ldrshp Grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,08,3,80420,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: 401 Terry Ave,Building:,Room: 142,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Seattle, WA","14 of 16 seats remain.
6 of 6 waitlist seats remain.",14,6,"Seattle, WA program eligible",Seattle CPS-Prof Prog Grad 2,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,09,3,80648,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 204,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine","21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,Roux Institute,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,10,3,80671,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 603,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,5,CPS-Professional Programs GR 2,,06,00,08,40,FULL: 0 of 30 seats remain.,5 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,14,3,81109,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1515,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,Vancouver program eligible,CPS-Professional Programs GR 2,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,16,3,81421,Monday,S,T,W,T,F,S,M,03:00 PM - 05:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1515,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Vancouver, Canada","27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,CPS-Professional Programs GR 2,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Support and Business Intelligence,Lecture,Analytics - CPS,6060,17,3,81424,Thursday,S,M,T,W,F,S,T,03:00 PM - 05:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 606,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada","17 of 30 seats remain.
6 of 6 waitlist seats remain.",17,6,CPS-Professional Programs GR 2,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication and Visualization for Data Analytics,Lecture,Analytics - CPS,6070,01,3,80250,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 111,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,,FULL,8,CPS-Professional Programs GR 2,CPS Digital Badge,05,50,08,30,FULL: 0 of 30 seats remain.,8 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication and Visualization for Data Analytics,Lecture,Analytics - CPS,6070,02,3,80251,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,Toronto program eligible,CPS-Professional Programs GR 2,,,,,,,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication and Visualization for Data Analytics,Lecture,Analytics - CPS,6070,04,3,80252,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 205,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Professional Programs GR 2,CPS Digital Badge,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication and Visualization for Data Analytics,Lecture,Analytics - CPS,6070,20,3,80611,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 1012,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Silicon Valley, CA","26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,CPS-Professional Programs GR 2,CPS Digital Badge,06,00,08,40,,,Silicon Valley CPS Ldrshp Grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
