section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),status-full,status-bold,readonly (8),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (11),status-waitlist,status-bold (2),readonly (12),readonly (13),readonly (14),readonly (15),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Bioethics of Human Genome Editing,Lecture,Biology,3417,01,4,61851,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,1,UG College of Science,,,,,,,,7,,,,,Open Seats Reserved for Waitlisted Only.,,,,,,,,,,,,,,,,,,,,,,,
Current Trends in Reproductive Sciences,Lecture,Biology,3607,01,4,61738,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,UG College of Science,,,,,,,8 of 10 waitlist seats remain.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biochemistry,Lecture,Biology,3611,01,4,60337,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: West Village G,Building:,Room: 108,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,4,UG College of Science,,11,40,01,20,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 3611,Lab,Biology,3612,01,1,60284,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 04:20 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 705,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 16 seats remain.,FULL,UG College of Science,,01,30,04,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 3611,Lab,Biology,3612,02,1,60285,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 10:50 AM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 705,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,3,UG College of Science,,08,00,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 3611,Lab,Biology,3612,03,1,60347,"Monday,Wednesday",S,T,T,M,W,F,S,08:00 AM - 10:50 AM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 705,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 16 seats remain.,FULL,UG College of Science,,08,00,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 3611,Lab,Biology,3612,04,1,60348,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 04:20 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 705,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,3,UG College of Science,,01,30,04,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 3611,Lab,Biology,3612,05,1,60961,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 10:50 AM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 705,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,12,UG College of Science,,08,00,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 3611,Lab,Biology,3612,06,1,60962,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 04:20 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 705,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,9,UG College of Science,,01,30,04,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology Capstone,Lecture,Biology,4701,01,4,60441,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 20 seats remain.,FULL,NU Core Capstone,NUpath Capstone Experience,,,,,NU Core Writing Intsv in Majr,0 of 10 waitlist seats remain.,0,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell and Molecular Biology,Lecture,Biology,4707,01,4,60338,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,UG College of Science,,,,,,,7 of 20 waitlist seats remain.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Analytics,Lecture,Business Administration,6365,02,3,60625,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 10:30 AM,Type: Class,Type:,Building: West Village G,Building:,Room: 108,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,54,GSBA Professional Accounting,,08,00,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Business Administration,6954,01,0,60591,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,29,GSBA Business Administration,No Course Evaluation,,,,,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Business Administration,6964,01,0,60092,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,103,GSBA Business Administration,Full-time status,,,,,No Course Evaluation,,,Do not publish in schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical Engineering Thermodynamics,Lecture,Chemical Engineering,2320,01,4,60014,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 265,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,Engineering,,09,50,11,30,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry 1,Lecture,Chemistry & Chemical Biology,2311,01,4,61722,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Robinson Hall,Building:,Room: 109,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 70 seats remain.,FULL,UG College of Science,,09,50,11,30,,27 of 30 waitlist seats remain.,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHEM 2311,Lab,Chemistry & Chemical Biology,2312,02,1,61723,"Tuesday,Thursday",S,M,W,T,T,F,S,12:00 PM - 03:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 24 seats remain.,FULL,UG College of Science,,12,00,03,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHEM 2311,Lab,Chemistry & Chemical Biology,2312,03,1,61724,"Monday,Wednesday",S,T,T,M,W,F,S,12:00 PM - 03:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,UG College of Science,,12,00,03,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHEM 2311,Lab,Chemistry & Chemical Biology,2312,04,1,61725,"Tuesday,Thursday",S,M,W,T,T,F,S,12:00 PM - 03:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,21,UG College of Science,,12,00,03,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry 2,Lecture,Chemistry & Chemical Biology,2313,02,4,60009,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Knowles Center,Building:,Room: 010,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 70 seats remain.,FULL,UG College of Science,,09,50,11,30,,0 of 20 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHEM 2313,Lab,Chemistry & Chemical Biology,2314,01,1,60012,"Monday,Wednesday",S,T,T,M,W,F,S,12:00 PM - 03:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 24 seats remain.,FULL,UG College of Science,,12,00,03,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHEM 2313,Lab,Chemistry & Chemical Biology,2314,02,1,60010,"Tuesday,Thursday",S,M,W,T,T,F,S,12:00 PM - 03:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,UG College of Science,,12,00,03,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHEM 2313,Lab,Chemistry & Chemical Biology,2314,03,1,60098,"Monday,Wednesday",S,T,T,M,W,F,S,12:00 PM - 03:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,UG College of Science,,12,00,03,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Research,Individual Instruction,Chemistry & Chemical Biology,4750,01,4,60027,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,"No campus, no room needed",,2,No Course Evaluation,NU Core Capstone,,,,,NUpath Capstone Experience,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
Undergraduate Research,Individual Instruction,Chemistry & Chemical Biology,4901,02,4,60314,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,"No campus, no room needed",,4,No Course Evaluation,NU Core Experiential Learning,,,,,NUpath Integration Experience,,,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exam Preparation&#8212;Doctoral,Individual Instruction,Chemistry & Chemical Biology,8960,01,0,60293,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,21,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability and Engineering Economy for Civil Engineering,Lecture,Civil & Environmental Engineer,3464,01,4,61739,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 221,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,32,NU Core Math/Anly Think Lvl 2,Engineering,08,00,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Management,Lecture,Civil & Environmental Engineer,4575,01,3,60015,"Tuesday,Wednesday,Thursday",S,M,F,T,W,T,S,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 233,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,16,Engineering,,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Civil & Environmental Engineer,4991,02,4,61489,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,"No campus, no room needed",,5,No Course Evaluation,NUpath Integration Experience,,,,,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Civil & Environmental Engineer,8984,01,1 TO 4,61136,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 0 seats remain.,FULL,GSEN Engineering,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Civil & Environmental Engineer,9986,01,0,60867,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 0 seats remain.,FULL,GSEN Engineering,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Civil & Environmental Engineer,9986,02,0,60496,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 0 seats remain.,FULL,GSEN Engineering,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Civil & Environmental Engineer,9986,03,0,60664,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 0 seats remain.,FULL,GSEN Engineering,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Civil & Environmental Engineer,9986,04,0,61114,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,5,GSEN Engineering,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Civil & Environmental Engineer,9986,05,0,61526,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,3,GSEN Engineering,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Civil & Environmental Engineer,9986,06,0,61674,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GSEN Engineering,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Communication Studies,Lecture,Communication Studies,1101,01,4,61414,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,NUpath Ethical Reasoning,NUpath Societies/Institutions,,,,,NU Accelerate Program Course,,,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Communication Studies,Lecture,Communication Studies,1101,02,4,60560,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 49 seats remain.,FULL,NUpath Ethical Reasoning,NUpath Societies/Institutions,,,,,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Speaking,Lecture,Communication Studies,1112,01,4,60178,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,8 of 10 waitlist seats remain.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Speaking,Lecture,Communication Studies,1112,02,4,60754,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,7 of 10 waitlist seats remain.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Speaking,Lecture,Communication Studies,1112,03,4,61007,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,1 of 8 waitlist seats remain.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Speaking,Lecture,Communication Studies,1112,04,4,60774,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,4,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",09,50,11,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Speaking,Lecture,Communication Studies,1112,05,4,60968,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,4 of 8 waitlist seats remain.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Speaking,Lecture,Communication Studies,1112,06,4,61952,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,10 of 10 waitlist seats remain.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business and Professional Speaking,Lecture,Communication Studies,1113,01,4,60880,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,0 of 8 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business and Professional Speaking,Lecture,Communication Studies,1113,02,4,60567,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,0 of 10 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business and Professional Speaking,Lecture,Communication Studies,1113,03,4,61511,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,0 of 10 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sex, Relationships, and Communication",Lecture,Communication Studies,1131,01,4,60193,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,1,NU Core Social Science Lvl 1,NUpath Societies/Institutions,,,,,"UG Col of Arts, Media & Design",,8,,,,,Open Seats Reserved for Waitlisted Only.,,,,,,,,,,,,,,,,,,,,,,,
Persuasion and Rhetoric,Lecture,Communication Studies,1210,01,4,61730,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NU Core Humanities Lvl 1,NUpath Interpreting Culture,11,40,01,20,"UG Col of Arts, Media & Design",6 of 10 waitlist seats remain.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Organizational Communication,Lecture,Communication Studies,1231,01,4,60323,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Interpreting Culture,"UG Col of Arts, Media & Design",,,,,,5 of 10 waitlist seats remain.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sound Production for Digital Media,Studio,Communication Studies,1450,01,4,60537,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",,,,,,8 of 10 waitlist seats remain.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication and Storytelling,Lecture,Communication Studies,1511,01,4,61836,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,5,NUpath Creative Express/Innov,NU Core Humanities Lvl 1,01,30,03,10,"UG Col of Arts, Media & Design",,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sports, Media, and Communication",Lecture,Communication Studies,2110,01,4,61731,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,1,NUpath Difference/Diversity,NUpath Ethical Reasoning,,,,,"UG Col of Arts, Media & Design",,0,,,,,Open Seats Reserved for Waitlisted Only.,,,,,,,,,,,,,,,,,,,,,,,
Dark Side of Interpersonal Communication,Lecture,Communication Studies,2131,01,4,60297,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,24,NUpath Difference/Diversity,"UG Col of Arts, Media & Design",,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Research Methods,Lecture,Communication Studies,2301,02,4,60200,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Math/Anly Think Lvl 2,,,,,"UG Col of Arts, Media & Design",10 of 10 waitlist seats remain.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global and Intercultural Communication,Lecture,Communication Studies,2303,01,4,60282,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,,,,,NUpath Societies/Institutions,5 of 10 waitlist seats remain.,5,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication and Gender,Lecture,Communication Studies,2304,01,4,60322,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,,,,,NUpath Societies/Institutions,9 of 10 waitlist seats remain.,9,"UG Col of Arts, Media & Design",Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,,
Popular Communication,Lecture,Communication Studies,2725,01,4,61179,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Interpreting Culture,"UG Col of Arts, Media & Design",,,,,,7 of 10 waitlist seats remain.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sports, Politics, and Communication",Lecture,Communication Studies,2900,01,4,61732,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,1,NUpath Societies/Institutions,"UG Col of Arts, Media & Design",,,,,,,8,,,,,Open Seats Reserved for Waitlisted Only.,,,,,,,,,,,,,,,,,,,,,,,
